Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Nick Castellanos","PHI",162,659,23,80,86,6,0.062215477,0.210925644,0.176567657,0.293721973,0.254125412,0.311077389,0.430693069,0.32075803446806006,0.335,104.96917554016036,-3.8381970077753067,0.07769798854767007,-18.574753284454346,0.3561329628421924,"Nick Castellanos",11737,592206
"Kyle Schwarber","PHI",150,692,38,110,104,5,0.15317919,0.28468208,0.237347295,0.300578034,0.247818499,0.365606936,0.485165794,0.36580757077696713,0.38,135.29060144829,-2.4048404172062874,26.798090348304893,-16.732934057712555,3.4194686319597682,"Kyle Schwarber",16478,656941
"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.38021706340771305,0.361,144.98917770401317,-0.45748116075992584,33.489307682797815,-4.281721591949463,5.186660969815826,"Bryce Harper",11579,547180
"Weston Wilson","PHI",41,98,3,13,10,3,0.081632653,0.295918367,0.204545454,0.385964912,0.284090909,0.346938775,0.488636363,0.3581331840583256,0.312,130.12521313698758,0.43557039089500904,3.9659181530349628,-3.8014642000198364,0.3540310926637026,"Weston Wilson",19358,642215
"Whit Merrifield","PHI",53,174,3,21,11,11,0.086206896,0.109195402,0.096153846,0.208955223,0.198717948,0.277456647,0.294871794,0.25903593666980723,,63.42597290981436,1.7533070892095566,-5.856669397638693,-2.9238439798355103,-0.3084016990028854,"Whit Merrifield",11281,593160
"Austin Hays","PHI",22,80,2,8,6,2,0,0.2375,0.141025641,0.315789473,0.256410256,0.275,0.397435897,0.2909259520471096,,84.89013919648946,0.5815457329154015,-0.8639330949559769,-2.4347524642944336,-0.06554062312047008,"Austin Hays",19363,669720
"Kody Clemens","PHI",44,120,5,17,18,0,0.041666666,0.241666666,0.228070176,0.25,0.219298245,0.258333333,0.447368421,0.3009244292974472,0.26,91.61979974307964,-0.1634334698319435,-1.365966259732265,-1.446064531803131,0.1222900424123905,"Kody Clemens",20572,665019
"Brandon Marsh","PHI",135,476,16,55,60,19,0.105042016,0.323529411,0.16985646,0.347826086,0.248803827,0.328421052,0.418660287,0.3257733355070415,0.328,108.34481691896798,2.9242638796567917,7.67417026181023,-0.6139476299285889,2.3662475495634494,"Brandon Marsh",20202,669016
"Buddy Kennedy","PHI",8,13,0,1,2,0,0.153846153,0.23076923,0.090909091,0.25,0.181818181,0.307692307,0.272727272,0.27033986953588635,,71.03429456975388,-0.023153747606556863,-0.47344006081061135,0.3743217960000038,0.034473562109643203,"Buddy Kennedy",22505,671083
"Aramis Garcia","PHI",3,7,0,0,0,0,0,0.428571428,0,0,0,0,0,0,0.08,-100,0,-1.7655629190917408,0.5235741771757603,-0.10419501588259483,"Aramis Garcia",16925,605244
